name,id,name_all,kind_hunt_part_II,cst,n_stars,cst_tidal,n_stars_tidal,ra,dec,l_hunt,b_new,ang_radius_50,ang_radius_c,ang_radius_t,ang_radius_total,radius_50_pc,radius_c_pc,radius_t_pc,radius_total_pc,pmra,pmra_std,pmra_error,pmdec,pmdec_std,pmdec_error,parallax,parallax_std,parallax_error,distance_16,distance_hunt,distance_84,n_stars_used_for_distance,global_parallax_correction_only,x_hunt,y_hunt,z_hunt,radial_velocity,radial_velocity_std,radial_velocity_error,radial_velocity_n_stars,class_2.5,class_16,class_50,class_84,class_97.5,human_class,log_age_16,log_age_50,log_age_84,a_v_16,a_v_50,a_v_84,differential_a_v_16,differential_a_v_50,differential_a_v_84,distance_modulus_16,distance_modulus_50,distance_modulus_84,min_cluster_size,is_merged_cluster,is_gmm_membership_list,n_unique_strong_crossmatches,crossmatch_type,age_myr,n_stars_new,x,y,z,x_hunt_16,y_hunt_16,z_hunt_16,x_hunt_84,y_hunt_84,z_hunt_84,x_hunt_84_16,y_hunt_84_16,z_hunt_84_16,l_new,distance_new,x_new,y_new,z_new,x_std_new,y_std_new,z_std_new,x_err_new,y_err_new,z_err_new,U,V,W,U_std_new,V_std_new,W_std_new,U_err,V_err,W_err,rv_best,rv_best_std,rv_best_err,n_rv_gaia_apogee_galah,index_in_new,Unnamed: 0,kind_hunt_part_III,l,b,distance_50,ang_radius_50_jacobi,ang_radius_jacobi,radius_50_jacobi_pc,radius_jacobi_pc,p_jacobi,jacobi_n_stars,mass_jacobi,mass_jacobi_error,mass_all,mass_all_error,note
1636-283,0,"1636-283,C1636-283,ESO_452-11,MWSC_2436",o,8.106140822808358,38,8.794950920427201,32,249.8557429625055,-28.39919378635858,351.91030596564974,12.08904446089955,0.016319397782675,0.0074238543564473,0.1258406258490526,0.2265141900914002,1.7270375802988736,0.785646343083591,13.317392985189676,23.97150627024166,-1.4549022587155729,0.1588679692976166,0.0280841546009202,-6.525783295023698,0.1733429946094189,0.0306430017398758,0.1313814591971511,0.0414024205734932,0.0073189830862636,5791.242025549134,6063.456694510122,6362.524220400362,38,False,-2248.9164420551524,-834.3299052258251,1276.4285526032106,16.786381758284044,2.274067087587432,1.0169937186480933,5,0.0003776252269744,0.002074658870697,0.0400589853525161,0.0683748722076416,0.2575693130493164,,8.025259971618652,8.487956523895264,8.890440940856934,2.65891170501709,3.0936416387557983,3.483597993850708,0.9135655164718628,1.4714771509170532,1.9462645053863523,13.771432876586914,14.001990795135498,14.187698364257812,20,False,False,2,1:m,307.57888900051347,38.0,5869.824663417694,-834.3225786797934,1270.6578381444967,5606.30296975111,-796.8662470847112,1213.6125387055868,6159.341687772341,-875.4738232538737,1333.3304216315662,553.038718021231,78.60757616916248,119.71788292597944,351.9141513302088,8033.970795496089,7775.772286059073,-1099.4372732910058,1695.0717783610785,3311.5366219208427,471.97363826072416,711.7884494297012,537.2021769345638,76.56423433491112,115.46733381094803,8.74588187308425,-231.9992824209389,-114.71562853541646,1.6579297709363594,29.643284907566866,15.524375152844902,0.7414487339468709,13.256880025942616,6.942711629993977,16.35299,2.2962284106856097,1.0269045636318654,5.0,1,,,,,,,,,,,,,,,,
ADS_16795,1,"ADS_16795,AR_Cas",o,6.8321986352118005,41,6.8321986352118,41,352.5921649178744,58.55341328644161,112.50889463014288,-2.645334612974496,2.6531590645345275,3.255858786427165,8.489976723000481,8.489976723000469,9.56715258213804,11.744707859105842,30.81841427627285,30.818414276272808,18.656603901323304,1.3018567134644832,0.2033158603816854,2.8466125312260906,1.258036414920903,0.1964722795110527,4.759610517805493,0.1016132969312564,0.0158693308396582,206.28167669192132,206.45788462227864,206.6343938472585,32,False,-8200.94946740538,190.52326759748928,11.391596692001649,-13.357744355315807,1.6301901766691835,0.5763592642732378,8,0.1719862520694732,0.6797695159912109,0.8284220993518829,0.9978262782096864,0.9988502264022828,,7.388280868530273,7.755186080932617,8.016153335571289,3.398020851363981e-07,0.1742975264787674,0.2642706930637359,0.0075803520157933,0.4707696288824081,0.6938900351524353,6.491674423217773,6.649981737136841,6.814626693725586,40,False,False,1,1:1,56.90967178794703,41.0,-78.9519388754934,190.5231800394149,-9.61079279638875,-78.88455487719081,190.3605720804055,-9.60259016508286,-79.01943809242604,190.686066038712,-9.61900945321942,0.1348832152352344,0.3254939583064811,0.0164192881365607,110.53445575407436,209.260058240414,-73.86280915457783,196.71593497832131,-9.738821433453367,11.452988784235163,4.233052600779176,4.7519641909780335,1.7886563433020184,0.6610917489360316,0.742132124064986,-13.076860781916343,-19.651072713427165,-3.686108970289729,0.8333116114429733,1.6417429666073793,0.5398813140442218,0.3726682819252759,0.7342097749832535,0.2414422635969583,-13.874467,1.5838039021846613,0.708298637662866,5.0,1,0.0,m,112.50889463014288,-2.6681322338226146,206.45788462227864,0.1996714993479431,1.122933386483683,0.7194931740051282,4.046862480722692,6.581479204410543e-13,10.0,6.007495672457889,2.5279593548681354,28.434568855611293,4.350883619184066,
AH03_J0748+26.9,2,"AH03_J0748+26.9,AH03_J0748-26.9,AH03_J0748_26.9,FSR_1315,MWSC_1347,MWSC_1348",o,11.58552411128617,68,11.781308590947832,66,117.15588690154831,-26.972679486845163,243.20021931301005,-0.6201473928247145,0.0341063297166577,0.0279548875012284,0.146303772548174,0.1888469123944244,2.368609277271829,1.941405125202325,10.160494784342138,13.115046953257629,-2.465489550712265,0.0424158244086476,0.005221027067578,3.185034556038373,0.0519356721170215,0.0063928393158979,0.2093581159953335,0.0331263105898409,0.0040775669611479,3919.580564564082,3979.0648832976767,4040.38251599541,68,False,-9916.032136865622,-3551.448985081539,-18.19460187026352,79.3605233088884,16.098662624763197,4.6472836,1,0.9962910413742064,0.9997889995574952,0.999937742948532,1.0,1.0,TP,7.840660095214844,8.061740398406982,8.303966522216797,0.7656020522117615,1.03666889667511,1.2332921028137207,0.6485722064971924,1.0790027379989624,1.4554529190063477,13.326923370361328,13.521470546722412,13.707493782043455,10,False,False,2,1:m,115.27639816774398,68.0,-1793.9497833714693,-3551.4507178445792,-43.58117661810172,-1767.131451970526,-3498.3589405896582,-42.929667613657216,-1821.5946590196857,-3606.178790154981,-44.252765209587096,54.46320704915979,107.81984956532231,1.3230975959298803,243.19873116429943,4892.2270431197685,-2208.252990075728,-4365.176578932923,-52.16864124317408,348.2794963023438,689.6078342549879,9.167541276911678,42.23509266151408,83.6272335554927,1.111727676821078,-104.17634253343822,-36.148781129964455,-11.773779006455726,0.0,0.0,0.0,0.0,0.0,0.0,79.35783,0.0,0.0,1.0,1,,,,,,,,,,,,,,,,
ASCC_5,3,"ASCC_5,MWSC_93",o,8.316422360609456,25,8.316422360609456,25,14.469082218852058,55.82917381440811,123.84274796884849,-7.020754755906745,0.0544906187542362,0.0449902503716339,0.232291510461087,0.2322915104610655,1.6557464021349555,1.3670690430453671,7.058422767890458,7.058422767889803,-2.4066308214404604,0.0826799669438486,0.0165359933887697,-1.918817682731875,0.0926384052816615,0.0185276810563323,0.538197217191586,0.0376430932572611,0.0075286186514522,1721.6875060529724,1740.9832068960254,1760.716320642365,24,False,-9084.803223659686,1435.1337687768814,-189.847235549789,,,,0,0.98990797996521,0.9989885091781616,0.9996598064899443,1.0,1.0,,6.969857215881348,7.325891017913818,7.542258262634277,0.8928673267364502,1.1762127876281738,1.3955895900726318,0.179810032248497,0.7234684824943542,1.0678118467330933,11.046813011169434,11.212085723876951,11.370137214660645,10,False,False,1,1:1,21.17829619280988,25.0,-962.2888840958844,1435.132560621863,-213.113030297066,-951.6236241677234,1419.2266699445738,-210.75105158177416,-973.1959140611864,1451.399020831044,-215.52855254393307,21.57228989346288,32.17235088647021,4.777500962158911,123.85103885230411,1865.551830271748,-1037.345436561794,1533.5413466437035,-229.01749891416927,71.61332064995007,106.56268652170364,16.076090231123484,14.322664129990011,21.31253730434073,3.2152180462246966,,,,,,,,,,,,,0.0,1,2.0,o,123.84274796884849,-7.031187011442153,1740.9832068960254,0.0544906187542535,0.2779471024932156,1.655746402135479,8.445736106429592,0.9999999998597896,25.0,173.19576530057174,25.46871726447697,173.19576530057174,25.46871726447697,
ASCC_6,4,"ASCC_6,MWSC_141,Theia_2326",o,19.258570040042773,209,19.258570040042773,209,26.842158817607828,57.73860678239112,130.36368619635664,-4.33389705792783,0.1436016922832675,0.0821451502019229,0.8665869878101655,0.8665869878101716,3.764217977649288,2.153260248244198,22.71744990099226,22.717449900992424,-0.8341447641923477,0.1092405718400727,0.0075563283582779,0.1491746604472933,0.0886124049249708,0.0061294482164559,0.6296673295635179,0.0507896043505607,0.0035131903943318,1497.8627547019378,1501.8858640262167,1505.930642890041,208,False,-9092.167569423753,1141.1043590304394,-89.94835549012527,-28.83784148864133,22.554364378178462,10.086618387781362,5,0.9907405376434326,0.9985350370407104,0.9992786049842834,0.9999970197677612,0.9999970197677612,,7.772575855255127,7.9610302448272705,8.184826850891113,0.4944925010204315,0.6565338969230652,0.8646805882453918,0.3160180747509002,0.7579635679721832,1.104529619216919,10.70322322845459,10.890650272369385,11.055895805358888,80,False,False,2,1:m,91.41769037108764,209.0,-969.9086248374504,1141.1032904953977,-113.2328947270836,-967.3105256571162,1138.0466112909935,-112.92957719443814,-972.5207180727292,1144.176433789032,-113.53784600883672,5.210192415613051,6.129822498038493,0.6082688143985706,130.35242310969676,1591.672254318186,-1027.881558161488,1210.2220243989584,-119.7968954132566,87.55045193500948,102.39698923088024,11.00381804102189,6.055991392145762,7.082947850733854,0.7611500096725297,,,,,,,,,,-42.236397,22.549167572148487,inf,0.0,1,3.0,o,130.36368619635664,-4.323849916404817,1501.8858640262167,0.1346437277630578,0.4788365602084076,3.529402782742669,12.551964743275612,0.9999999999629012,196.0,580.776666170426,89.91147580677949,597.8865702596352,92.29020971023937,
ASCC_9,5,"ASCC_9,Theia_1659",o,17.56655281369095,136,17.87814089931414,132,41.623901077500605,57.77684685169969,137.8066871027361,-1.7578450642395569,0.1384387287272645,0.3349698376452316,0.3349698376452316,0.4128535286367015,5.555551235984551,13.442478802760233,13.442478802760233,16.56808167657627,0.168758068635488,0.0618513500544742,0.0053834690175891,-1.1386795380683332,0.0685140263883973,0.0059633805568895,0.4022819398244487,0.0259685141756439,0.0022602690381742,2288.405415669356,2299.277248338187,2310.252874642784,136,False,-9824.86028517204,1543.568129992561,-44.38768078539483,-23.79108670314439,23.511186630972457,16.624919500503122,2,0.9953250885009766,0.9992956519126892,0.999687522649765,1.0,1.0,TP,7.24895715713501,7.465640544891357,7.646901607513428,2.302372455596924,2.499997854232788,2.673978328704834,0.6282398700714111,1.0776838064193726,1.3692028522491455,11.677465438842772,11.841861724853516,11.979044914245604,40,False,False,2,1:m,29.217331284890463,136.0,-1702.7159281759664,1543.5664439618872,-69.5482978679629,-1694.6648579246248,1536.267891295346,-69.21944780981141,-1710.843862179598,1550.9346760780818,-69.88028746515988,16.17900425497305,14.666784782735704,0.6608396553484681,137.86894749006012,2487.092486106965,-1844.8155100598103,1671.1442234376657,-76.17969545702573,118.96986647560836,106.16295632017916,7.110982758212805,10.201581887580014,9.103398401728343,0.6097617410031355,30.893940239450007,-36.87497747934689,-10.6379505284095,0.0,0.0,0.0,0.0,0.0,0.0,-23.755728725000004,23.489811275,23.489811275,1.0,1,4.0,o,137.8066871027361,-1.7333411340240872,2299.277248338187,0.1418105632845958,0.4178352990623662,5.690863625860375,16.76801042268264,1.0,136.0,1143.1251471362382,217.9357163596689,1143.1251471362382,217.9357163596689,
ASCC_11,6,"ASCC_11,MWSC_284,Teutsch_J0332.2+4450,Theia_152",o,27.893488206018606,315,24.371219744714093,231,53.05042397610151,44.84076681234826,150.5516757730822,-9.222327089563402,0.1920743955031562,0.2430553426745172,0.6038778291301643,0.760232924811678,2.768818467254255,3.503734245647921,8.705396322949982,10.959621181506336,0.9053014134801092,0.1516263081721516,0.0099762786462359,-3.072374380218166,0.1320601214060767,0.0086889180715721,1.170582169268083,0.0500749119361355,0.0032946873183341,824.70038138279,825.9352722036549,827.173866774967,226,False,-8832.205692434205,400.7957110341301,-109.97428855990898,-17.285206350115764,10.74674652408638,1.3228330528267542,66,0.9909819960594176,0.9981723427772522,0.9990919828414916,0.9999986290931702,0.9999986290931702,,8.173505783081055,8.369570255279541,8.586539268493652,0.5259051322937012,0.7289878129959106,0.9071335792541504,0.5949093699455261,0.996621996164322,1.3633617162704468,9.37984848022461,9.527440071105955,9.67680835723877,20,False,False,2,m:m,234.19102924506552,315.0,-709.8956540681198,400.7948559277735,-132.5922986721194,-708.8342589970005,400.1956105567476,-132.3940543083562,-710.9602325319755,401.39589858749366,-132.79113762095722,2.12597353497506,1.200288030746094,0.397083312601012,150.56286857106002,854.2798450458599,-734.1637697956452,415.4930483261088,-137.30483175317062,46.29623161141174,25.784375520278864,9.018815172144176,2.608497141618765,1.4527849784320992,0.5081526676898499,8.510804343852097,-16.521095029223325,-5.463504049293967,7.3366726741757216,4.260297614117811,1.462232292688333,2.3200596097513686,1.34722439707934,0.4623984513145107,-16.548622,12.86011816863027,4.066726439178499,10.0,1,5.0,o,150.5516757730822,-9.238005690841025,825.9352722036549,0.2311141260037453,0.9019530373659376,3.331595197459348,13.002988634555134,1.0,315.0,688.4933590488167,86.12395545195864,688.4933590488167,86.12395545195864,
ASCC_12,7,"ASCC_12,MWSC_427",o,19.417069050612827,157,19.516780826363053,155,72.42059742176647,41.71429711424042,163.01816915320668,-1.8653451063043909,0.2234224880928298,0.1299968943968596,1.324406740014758,1.4267439311997925,3.95608849194642,2.3018161604621823,23.45501172105072,25.26810802263982,-0.6760471358497244,0.1324975986587116,0.0106424632275842,-2.916448732537112,0.1286524171036112,0.0103336108127646,0.9549891038989164,0.0465832173015097,0.0037416540539037,1012.077761401532,1014.5175045685808,1016.9690387867068,153,False,-9091.804529378544,296.1465994469909,-10.35242348654419,-26.144658789557614,20.494431153602694,4.369427403248833,22,0.9935677647590636,0.9991297125816344,0.9995677471160888,0.9999984502792358,0.9999984502792358,,8.259166717529297,8.473429203033447,8.701454162597656,0.5051770210266113,0.7091508209705353,0.8651282787322998,0.5107449293136597,0.8295106887817383,1.224748134613037,9.83094310760498,9.99554204940796,10.13536262512207,80,False,False,1,1:1,297.4604311140004,157.0,-969.748526919114,296.1456479764205,-33.63505312756257,-967.4164455783266,295.433467735224,-33.5541665083847,-972.091878991418,296.86127011827017,-33.71633066422345,4.675433413091355,1.4278023830461848,0.1621641558387523,163.00447648274172,1054.6876765772224,-1008.485663518002,304.9478193140851,-33.99614253089379,48.08330533133654,16.384409666078774,3.5721278390705584,3.8374655346791786,1.3076182464242003,0.2850868378003882,23.093587743567877,-15.832937400665296,-10.794422801800367,29.04192994640542,10.248130326152827,0.2828602243381218,16.767366072343425,5.916760802494703,0.1633094266646525,-20.009346,20.29532480777892,11.717511241062049,3.0,1,6.0,o,163.01816915320668,-1.89991774199431,1014.5175045685808,0.1890390733742423,0.6097117878202822,3.34726478145429,10.796373427855196,1.0,132.0,374.2357354010517,44.83426745118951,442.39595069841,56.13073932809245,
ASCC_13,8,"ASCC_13,MWSC_486,Theia_2043",o,11.415641988975889,117,11.523402996450328,115,78.22066966754788,44.36502692325036,163.52977737666689,3.0727636620648138,0.2653613980833361,0.3148082756985162,0.8665428750544673,1.1641248949230094,4.984161396865526,5.91291663770676,16.27700195871032,21.86807671140355,-0.5482342651155996,0.1152957630003663,0.0107513853367577,-1.809480144822608,0.1281610787844058,0.0119510822195724,0.8815503613356596,0.073913366284566,0.0068924569453585,1073.2611470639292,1076.1526456475694,1079.0597664306454,116,False,-9152.334541016462,304.67008893957563,81.10342370492992,-17.422667687761706,15.843259336546112,4.394129531414661,13,0.9952190518379213,0.9991581439971924,0.9995856881141664,0.9999990463256836,0.9999990463256836,TP,7.737308025360107,7.945140361785889,8.158613204956055,0.4213677048683166,0.6169288754463196,0.7540637254714966,0.2927806079387665,0.6698787808418274,0.99557363986969,9.989542961120604,10.13825511932373,10.321964263916016,80,False,False,2,1:m,88.13336695795239,117.0,-1030.512430760733,304.6692150524047,57.665554547056274,-1027.743562193602,303.8506038568965,57.51061382375645,-1033.2962589813844,305.4922490435623,57.82133238467935,5.552696787782452,1.6416451866658122,0.3107185609229077,163.48033974339594,1121.0500186985364,-1072.8571523151415,319.39053177143444,60.42548700158767,104.7134486217516,31.13124143401108,8.032032270369616,9.680761749651008,2.878084288696821,0.7425616460768997,3.5786972896196296,-9.74925610611315,-10.90218511395148,0.0,0.0,0.0,0.0,0.0,0.0,-18.765583,15.841762290527091,15.841762290527091,1.0,1,7.0,o,163.52977737666689,3.0716609847193688,1076.1526456475694,0.206664655823529,0.5515483331066954,3.881676495716572,10.359725229947742,0.9999999999987428,100.0,323.3220489207818,40.70543180474191,377.1972773626774,40.42737426844379,
ASCC_14,9,"ASCC_14,MWSC_507",o,3.353328038318654,32,5.466882065004207,21,80.00385802209567,35.2290565788008,171.77059710826683,-1.0096703050159603,0.2065764726114076,0.4305042220189305,0.4305042220189305,0.9249219270364611,3.6207817329959866,7.545798335380075,7.545798335380075,16.212963646391223,-0.5640049171872279,0.0822272452964492,0.0179434559885085,-3.597437553492386,0.1967993575395861,0.0429451406020872,0.927375998863632,0.0430672490029415,0.00939804421569,1000.0364774569896,1004.250921207276,1008.5010370666804,32,False,-9115.743893346274,143.71938407130318,3.924259755169935,-15.068502255771657,2.7090883570813054,1.915614748125714,2,0.9861856698989868,0.997585654258728,0.9987892210483552,0.9999955892562866,0.9999955892562866,,7.457206249237059,7.689081430435181,7.865200042724609,0.4980537891387939,0.6763485074043274,0.8293092846870422,0.40223029255867,0.8339564502239227,1.2123435735702517,9.806318283081056,9.9884991645813,10.141782760620115,20,False,False,1,m:1,48.87439904977236,32.0,-993.7242120575038,143.71843117864705,-19.4194659015875,-989.5539447402688,143.11530179007383,-19.337970087170504,-997.929777563446,144.3266656056632,-19.501651517021457,8.375832823177348,1.2113638155893796,0.1636814298509534,171.90447154186907,1065.940297980511,-1054.43825680274,150.48592774238475,-17.774031583820374,69.94501262886031,13.845092098790204,3.488131380026938,12.364648185011458,2.4474896273017106,0.6166203381216595,,,,,,,,,,-10.5388575,6.828701466371164,inf,0.0,1,8.0,o,171.77059710826683,-1.108012715858862,1004.250921207276,0.2025471129058411,0.3671928470398687,3.5501562905503,6.436055265688637,0.9974622027016854,18.0,78.39984304545622,17.474615250681836,125.72660045363509,29.555660807428268,
